"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num5rd","c_type","flgrm5","mrkgrm5","ngrm5","flmth5","mrkmth5","nmth5","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"127",127,11201,99,50,49,18,1,1,1,1,3,3,15.1199998855591,79,86,8.89000034332275,70,90,30007,11,3,5,3,34,0,3,99,30,70.9700012207031,6.69999980926514,29,77.7200012207031,20.7000007629395,1,0,0,0,0,3,70.1042251586914,8.8866662979126,90,78.9502334594727,15.109302520752,86,0,NA,NA,3,30007,3
"128",128,11203,23,13,10,8,1,1,1,NA,1,1,4.76000022888184,82,21,23.8099994659424,67,21,2865,11,0,5,1,23,0,1,23,21,66.7600021362305,23.7999992370605,21,82.2399978637695,4.80000019073486,1,0,0,0,0,1,66.7600021362305,23.7999992370605,21,82.2399978637695,4.80000019073486,21,0,NA,NA,0,2865,0
"129",129,11205,20,11,9,8,2,2,1,0,1,1,10.5299997329712,78,19,25,70,20,36384,12,3,5,1,20,0,1,20,20,70,25,19,78,10.5299997329712,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,36384,3
"130",130,11207,75,43,32,15,1,1,1,2,3,3,24.3199996948242,69,74,24.3199996948242,66,74,26104,11,10,5,1,25,0,3,75,23,61.6100006103516,34.7999992370605,23,64.4800033569336,34.7999992370605,1,0,0,0,0,3,66.3512191772461,24.3189182281494,74,69.3510818481445,24.3351345062256,74,0,NA,NA,10,26104,10
"131",131,11207,75,43,32,15,1,1,1,2,3,3,24.3199996948242,69,74,24.3199996948242,66,74,26104,11,10,5,2,27,0,3,75,26,66.9599990844727,19.2000007629395,26,68.1900024414062,15.3999996185303,1,0,0,0,0,3,66.3512191772461,24.3189182281494,74,69.3510818481445,24.3351345062256,74,0,NA,NA,10,26104,10
"132",132,11207,75,43,32,15,1,1,1,2,3,3,24.3199996948242,69,74,24.3199996948242,66,74,26104,11,10,5,3,23,0,3,75,25,70.0800018310547,20,25,75.0400009155273,24,1,0,0,0,0,3,66.3512191772461,24.3189182281494,74,69.3510818481445,24.3351345062256,74,0,NA,NA,10,26104,10
"133",133,11209,33,21,12,10,1,2,1,0,1,1,34.3800010681152,76,32,34.3800010681152,59,32,36525,11,0,5,1,33,0,1,33,32,59.4099998474121,34.4000015258789,32,76.1600036621094,34.4000015258789,1,0,0,0,0,1,59.4099998474121,34.4000015258789,32,76.1600036621094,34.4000015258789,32,0,NA,NA,0,36525,0
"134",134,11212,32,20,12,9,2,2,1,0,1,1,10.3400001525879,83,29,13.789999961853,78,29,36418,12,2,5,1,32,0,1,32,29,78.0299987792969,13.8000001907349,29,82.5899963378906,10.3000001907349,1,0,0,0,0,1,78.0299987792969,13.8000001907349,29,82.5899963378906,10.3000001907349,29,0,NA,NA,2,36418,2
"135",135,11213,101,46,55,18,1,1,1,1,3,3,17,78,100,15,72,100,30007,11,7,5,2,36,0,3,101,36,75.1399993896484,13.8999996185303,36,76.8300018310547,19.3999996185303,1,0,0,1,0,3,72.4934310913086,14.9179105758667,67,76.1174621582031,22.3611946105957,67,0,NA,NA,7,30007,7
"136",136,11213,101,46,55,18,1,1,1,1,3,3,17,78,100,15,72,100,30007,11,7,5,3,32,0,3,101,31,69.4199981689453,16.1000003814697,31,75.2900009155273,25.7999992370605,1,0,0,1,0,3,72.4934310913086,14.9179105758667,67,76.1174621582031,22.3611946105957,67,0,NA,NA,7,30007,7
"137",137,11213,101,46,55,18,1,1,1,1,3,3,17,78,100,15,72,100,30007,11,7,5,1,33,0,3,101,33,70.9981842041016,15.1666669845581,33,81.8221206665039,6.11515140533447,NA,1,0,1,0,3,72.4934310913086,14.9179105758667,67,76.1174621582031,22.3611946105957,67,1,33,33,7,30007,7
"138",138,11217,102,53,49,23,1,2,1,1,3,3,28.5699996948242,70,105,29.5200004577637,62,105,36160,11,5,5,1,31,0,3,102,34,55.0900001525879,47.0999984741211,34,67.5599975585938,26.5,1,0,0,0,0,3,61.6778106689453,29.5438098907471,105,69.8296203613281,28.5647621154785,105,0,NA,NA,5,36160,5
"139",139,11217,102,53,49,23,1,2,1,1,3,3,28.5699996948242,70,105,29.5200004577637,62,105,36160,11,5,5,2,35,0,3,102,35,65.370002746582,25.7000007629395,35,71.1699981689453,25.7000007629395,1,0,0,0,0,3,61.6778106689453,29.5438098907471,105,69.8296203613281,28.5647621154785,105,0,NA,NA,5,36160,5
"140",140,11217,102,53,49,23,1,2,1,1,3,3,28.5699996948242,70,105,29.5200004577637,62,105,36160,11,5,5,3,36,0,3,102,36,64.3099975585938,16.7000007629395,36,70.6699981689453,33.2999992370605,1,0,0,0,0,3,61.6778106689453,29.5438098907471,105,69.8296203613281,28.5647621154785,105,0,NA,NA,5,36160,5
"141",141,11218,107,53,54,19,1,1,1,2,4,3,21.1100006103516,72,90,14.1300001144409,69,92,30007,11,6,5,2,32,0,3,95,30,73.9300003051758,6.69999980926514,30,77.5299987792969,13.3000001907349,1,0,0,1,0,3,70.8499984741211,11.6999998092651,60,72.0500030517578,25,60,0,NA,NA,6,30007,6
"142",142,11218,107,53,54,19,1,1,1,2,4,3,21.1100006103516,72,90,14.1300001144409,69,92,30007,11,6,5,3,31,0,3,95,30,67.7699966430664,16.7000007629395,30,66.5699996948242,36.7000007629395,1,0,0,1,0,3,70.8499984741211,11.6999998092651,60,72.0500030517578,25,60,0,NA,NA,6,30007,6
"143",143,11218,107,53,54,19,1,1,1,2,4,3,21.1100006103516,72,90,14.1300001144409,69,92,30007,11,6,5,1,32,0,3,95,32,65.53125,18.6862506866455,30,71.9000015258789,13.3299999237061,NA,1,0,1,0,3,70.8499984741211,11.6999998092651,60,72.0500030517578,25,60,1,30,32,6,30007,6
"144",144,11219,22,17,5,6,1,2,1,0,1,1,0,79,8,12.5,80,8,36558,11,3,5,1,22,0,1,22,8,80.25,12.5,8,79,0,1,0,0,0,0,1,80.25,12.5,8,79,0,8,0,NA,NA,3,36558,3
"145",145,11220,138,81,57,24,1,1,1,1,4,4,17.8899993896484,81,123,16,73,125,30007,11,4,5,1,36,0,4,138,32,65.25,21.8999996185303,31,75.8099975585938,22.6000003814697,1,0,0,0,0,4,73.394401550293,15.9904003143311,125,80.6669082641602,17.8764228820801,123,0,NA,NA,4,30007,4
"146",146,11220,138,81,57,24,1,1,1,1,4,4,17.8899993896484,81,123,16,73,125,30007,11,4,5,2,34,0,4,138,30,75.870002746582,13.3000001907349,30,79.2300033569336,13.3000001907349,1,0,0,0,0,4,73.394401550293,15.9904003143311,125,80.6669082641602,17.8764228820801,123,0,NA,NA,4,30007,4
