"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num5rd","c_type","flgrm5","mrkgrm5","ngrm5","flmth5","mrkmth5","nmth5","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"975",975,41189,54,32,22,12,1,1,1,3,2,2,38.7799987792969,64,49,12.2399997711182,75,49,83006,11,14,5,2,27,0,2,54,23,69.2600021362305,13,23,63.5200004577637,26.1000003814697,1,0,0,0,0,2,74.5289764404297,12.2040815353394,49,63.9604072570801,38.7816314697266,49,0,NA,NA,14,83006,14
"976",976,41190,199,100,99,33,1,1,1,1,6,5,18.3899993896484,77,174,8.05000019073486,77,174,83006,11,7,5,1,37,0,5,188,34,76.3499984741211,11.8000001907349,34,72.5899963378906,23.5,1,0,0,1,0,5,78.6273727416992,8.04306602478027,137,77.8967132568359,18.2343063354492,137,0,NA,NA,7,83006,7
"977",977,41190,199,100,99,33,1,1,1,1,6,5,18.3899993896484,77,174,8.05000019073486,77,174,83006,11,7,5,2,40,0,5,188,40,79.9300003051758,10,40,78.7200012207031,20,1,0,0,1,0,5,78.6273727416992,8.04306602478027,137,77.8967132568359,18.2343063354492,137,0,NA,NA,7,83006,7
"978",978,41190,199,100,99,33,1,1,1,1,6,5,18.3899993896484,77,174,8.05000019073486,77,174,83006,11,7,5,4,36,0,5,188,31,72.3499984741211,9.69999980926514,31,78.7699966430664,12.8999996185303,1,0,0,1,0,5,78.6273727416992,8.04306602478027,137,77.8967132568359,18.2343063354492,137,0,NA,NA,7,83006,7
"979",979,41190,199,100,99,33,1,1,1,1,6,5,18.3899993896484,77,174,8.05000019073486,77,174,83006,11,7,5,5,37,0,5,188,32,85.5,0,32,81.6600036621094,15.6000003814697,1,0,0,1,0,5,78.6273727416992,8.04306602478027,137,77.8967132568359,18.2343063354492,137,0,NA,NA,7,83006,7
"980",980,41190,199,100,99,33,1,1,1,1,6,5,18.3899993896484,77,174,8.05000019073486,77,174,83006,11,7,5,3,38,0,5,188,37,70.9743270874023,8.07567596435547,37,73.6797332763672,18.9664859771729,NA,1,0,1,0,5,78.6273727416992,8.04306602478027,137,77.8967132568359,18.2343063354492,137,1,37,37,7,83006,7
"981",981,41191,122,51,71,19,1,1,1,4,4,3,29.5200004577637,74,105,25,67,104,83006,11,16,5,1,36,0,3,108,35,70.1999969482422,17.1000003814697,35,73.0599975585938,25.7000007629395,1,0,0,1,0,3,67.2878265380859,26.068115234375,69,73.1339111328125,26.094202041626,69,0,NA,NA,16,83006,16
"982",982,41191,122,51,71,19,1,1,1,4,4,3,29.5200004577637,74,105,25,67,104,83006,11,16,5,3,35,0,3,108,34,64.2900009155273,35.2999992370605,34,73.2099990844727,26.5,1,0,0,1,0,3,67.2878265380859,26.068115234375,69,73.1339111328125,26.094202041626,69,0,NA,NA,16,83006,16
"983",983,41191,122,51,71,19,1,1,1,4,4,3,29.5200004577637,74,105,25,67,104,83006,11,16,5,2,37,0,3,108,35,66.4325714111328,22.8942852020264,36,75.6600036621094,36.0861129760742,NA,1,0,1,0,3,67.2878265380859,26.068115234375,69,73.1339111328125,26.094202041626,69,1,36,35,16,83006,16
"984",984,41193,44,27,17,9,2,1,1,5,2,2,17.9500007629395,70,39,46.1500015258789,57,39,83006,12,21,5,1,20,0,2,44,22,55.6800003051758,54.5,22,69.4499969482422,22.7000007629395,1,0,0,0,0,2,57.1271781921387,46.1307678222656,39,69.5371780395508,17.9487171173096,39,0,NA,NA,21,83006,21
"985",985,41193,44,27,17,9,2,1,1,5,2,2,17.9500007629395,70,39,46.1500015258789,57,39,83006,12,21,5,2,24,0,2,44,17,59,35.2999992370605,17,69.6500015258789,11.8000001907349,1,0,0,0,0,2,57.1271781921387,46.1307678222656,39,69.5371780395508,17.9487171173096,39,0,NA,NA,21,83006,21
"986",986,41194,80,33,47,19,2,1,1,2,3,3,11.25,81,80,15,77,80,83006,12,17,5,1,22,0,3,80,29,82.1699981689453,6.90000009536743,29,84.2099990844727,3.40000009536743,1,0,0,0,0,3,76.6127471923828,15.0100002288818,80,81.4391250610352,11.2399997711182,80,0,NA,NA,17,83006,17
"987",987,41194,80,33,47,19,2,1,1,2,3,3,11.25,81,80,15,77,80,83006,12,17,5,2,30,0,3,80,22,73.1399993896484,18.2000007629395,22,77.6800003051758,18.2000007629395,1,0,0,0,0,3,76.6127471923828,15.0100002288818,80,81.4391250610352,11.2399997711182,80,0,NA,NA,17,83006,17
"988",988,41194,80,33,47,19,2,1,1,2,3,3,11.25,81,80,15,77,80,83006,12,17,5,3,28,0,3,80,29,73.6900024414062,20.7000007629395,29,81.5199966430664,13.8000001907349,1,0,0,0,0,3,76.6127471923828,15.0100002288818,80,81.4391250610352,11.2399997711182,80,0,NA,NA,17,83006,17
"989",989,41195,111,55,56,26,1,1,1,1,5,3,22.6200008392334,75,84,7.1399998664856,75,84,84004,11,7,5,2,31,0,3,90,30,78.5999984741211,3.29999995231628,30,78.4000015258789,20,1,0,0,1,0,3,74.0715789794922,8.74736881256104,57,74.2789459228516,28.0526313781738,57,0,NA,NA,7,84004,7
"990",990,41195,111,55,56,26,1,1,1,1,5,3,22.6200008392334,75,84,7.1399998664856,75,84,84004,11,7,5,3,28,0,3,90,27,69.0400009155273,14.8000001907349,27,69.6999969482422,37,1,0,0,1,0,3,74.0715789794922,8.74736881256104,57,74.2789459228516,28.0526313781738,57,0,NA,NA,7,84004,7
"991",991,41195,111,55,56,26,1,1,1,1,5,3,22.6200008392334,75,84,7.1399998664856,75,84,84004,11,7,5,1,31,0,3,90,27,76.9599990844727,3.74666666984558,27,76.5222244262695,11.1511106491089,NA,1,0,1,0,3,74.0715789794922,8.74736881256104,57,74.2789459228516,28.0526313781738,57,1,27,27,7,84004,7
"992",992,41197,98,38,60,17,1,1,1,1,3,3,13.4099998474121,81,82,4.88000011444092,83,82,84004,11,12,5,1,31,0,3,98,26,76.3499984741211,3.79999995231628,26,82.0800018310547,7.69999980926514,1,0,0,1,0,3,81.5489120483398,3.5890908241272,55,80.7460021972656,10.9163637161255,55,0,NA,NA,12,84004,12
"993",993,41197,98,38,60,17,1,1,1,1,3,3,13.4099998474121,81,82,4.88000011444092,83,82,84004,11,12,5,3,34,0,3,98,29,86.2099990844727,3.40000009536743,29,79.5500030517578,13.8000001907349,1,0,0,1,0,3,81.5489120483398,3.5890908241272,55,80.7460021972656,10.9163637161255,55,0,NA,NA,12,84004,12
"994",994,41197,98,38,60,17,1,1,1,1,3,3,13.4099998474121,81,82,4.88000011444092,83,82,84004,11,12,5,2,33,0,3,98,27,85.955924987793,7.50962972640991,27,81.5174102783203,18.4896297454834,NA,1,0,1,0,3,81.5489120483398,3.5890908241272,55,80.7460021972656,10.9163637161255,55,1,27,27,12,84004,12
"995",995,41198,51,23,28,12,1,1,1,1,2,2,17.7800006866455,79,45,0,81,45,84004,11,6,5,1,25,0,2,51,21,80.6699981689453,0,21,81.4300003051758,9.5,1,0,0,0,0,2,80.7126693725586,0,45,79.3339996337891,17.7666664123535,45,0,NA,NA,6,84004,6
"996",996,41198,51,23,28,12,1,1,1,1,2,2,17.7800006866455,79,45,0,81,45,84004,11,6,5,2,26,0,2,51,24,80.75,0,24,77.5,25,1,0,0,0,0,2,80.7126693725586,0,45,79.3339996337891,17.7666664123535,45,0,NA,NA,6,84004,6
"997",997,41199,109,56,53,18,1,1,1,1,3,3,14.5600004196167,83,103,7.69000005722046,83,104,84004,11,5,5,1,37,0,3,109,33,84.7600021362305,6.09999990463257,33,84.5800018310547,18.2000007629395,1,0,0,0,0,3,82.4602890014648,7.70673084259033,104,82.7479629516602,14.5844659805298,103,0,NA,NA,5,84004,5
"998",998,41199,109,56,53,18,1,1,1,1,3,3,14.5600004196167,83,103,7.69000005722046,83,104,84004,11,5,5,2,37,0,3,109,37,76.8899993896484,10.8000001907349,36,79.1399993896484,13.8999996185303,1,0,0,0,0,3,82.4602890014648,7.70673084259033,104,82.7479629516602,14.5844659805298,103,0,NA,NA,5,84004,5
"999",999,41199,109,56,53,18,1,1,1,1,3,3,14.5600004196167,83,103,7.69000005722046,83,104,84004,11,5,5,3,35,0,3,109,34,86.2900009155273,5.90000009536743,34,84.7900009155273,11.8000001907349,1,0,0,0,0,3,82.4602890014648,7.70673084259033,104,82.7479629516602,14.5844659805298,103,0,NA,NA,5,84004,5
"1000",1000,41202,112,70,42,22,1,1,1,1,3,3,11.3400001525879,81,97,8.32999992370605,81,96,84004,11,4,5,1,38,0,3,112,33,81.4800033569336,15.1999998092651,33,81.4499969482422,6.09999990463257,1,0,0,0,0,3,80.5832290649414,8.34166622161865,96,81.1825790405273,11.3680410385132,97,0,NA,NA,4,84004,4
"1001",1001,41202,112,70,42,22,1,1,1,1,3,3,11.3400001525879,81,97,8.32999992370605,81,96,84004,11,4,5,2,37,0,3,112,29,84.6900024414062,3.40000009536743,30,83.5999984741211,6.69999980926514,1,0,0,0,0,3,80.5832290649414,8.34166622161865,96,81.1825790405273,11.3680410385132,97,0,NA,NA,4,84004,4
"1002",1002,41202,112,70,42,22,1,1,1,1,3,3,11.3400001525879,81,97,8.32999992370605,81,96,84004,11,4,5,3,37,0,3,112,34,76.2099990844727,5.90000009536743,34,78.7900009155273,20.6000003814697,1,0,0,0,0,3,80.5832290649414,8.34166622161865,96,81.1825790405273,11.3680410385132,97,0,NA,NA,4,84004,4
"1003",1003,41203,119,59,60,17,1,1,1,1,3,3,18.2700004577637,79,104,9.61999988555908,75,104,84004,11,7,5,2,39,0,3,119,33,68.6999969482422,24.2000007629395,32,79.0899963378906,12.5,1,0,0,1,0,3,74.1044082641602,13.2367649078369,68,80.2235794067383,14.9029846191406,67,0,NA,NA,7,84004,7
"1004",1004,41203,119,59,60,17,1,1,1,1,3,3,18.2700004577637,79,104,9.61999988555908,75,104,84004,11,7,5,3,40,0,3,119,35,79.1999969482422,2.90000009536743,35,81.2600021362305,17.1000003814697,1,0,0,1,0,3,74.1044082641602,13.2367649078369,68,80.2235794067383,14.9029846191406,67,0,NA,NA,7,84004,7
"1005",1005,41203,119,59,60,17,1,1,1,1,3,3,18.2700004577637,79,104,9.61999988555908,75,104,84004,11,7,5,1,40,0,3,119,36,76.6916656494141,2.78833341598511,37,76.7843246459961,24.3670272827148,NA,1,0,1,0,3,74.1044082641602,13.2367649078369,68,80.2235794067383,14.9029846191406,67,1,37,36,7,84004,7
"1006",1006,41206,67,38,29,12,2,1,1,2,2,2,25.3999996185303,75,63,25.3700008392334,73,67,84004,12,10,5,1,34,0,2,67,34,75.3499984741211,26.5,33,74.0299987792969,33.2999992370605,1,0,0,0,0,2,73.4143295288086,25.3671646118164,67,75.4109497070312,25.3952388763428,63,0,NA,NA,10,84004,10
"1007",1007,41206,67,38,29,12,2,1,1,2,2,2,25.3999996185303,75,63,25.3700008392334,73,67,84004,12,10,5,2,33,0,2,67,33,71.4199981689453,24.2000007629395,30,76.9300003051758,16.7000007629395,1,0,0,0,0,2,73.4143295288086,25.3671646118164,67,75.4109497070312,25.3952388763428,63,0,NA,NA,10,84004,10
"1008",1008,41208,92,42,50,16,2,1,1,1,4,3,17.7199993133545,82,79,27.5,73,80,84004,12,7,5,1,28,0,3,82,27,64.4800033569336,51.9000015258789,26,80.1900024414062,30.7999992370605,1,0,0,0,0,3,72.4751281738281,27.5112495422363,80,82.1372146606445,17.7291145324707,79,0,NA,NA,7,84004,7
"1009",1009,41208,92,42,50,16,2,1,1,1,4,3,17.7199993133545,82,79,27.5,73,80,84004,12,7,5,2,26,0,3,82,26,78.2699966430664,7.69999980926514,26,83.5,7.69999980926514,1,0,0,0,0,3,72.4751281738281,27.5112495422363,80,82.1372146606445,17.7291145324707,79,0,NA,NA,7,84004,7
"1010",1010,41208,92,42,50,16,2,1,1,1,4,3,17.7199993133545,82,79,27.5,73,80,84004,12,7,5,3,28,0,3,82,27,74.8899993896484,22.2000007629395,27,82.6999969482422,14.8000001907349,1,0,0,0,0,3,72.4751281738281,27.5112495422363,80,82.1372146606445,17.7291145324707,79,0,NA,NA,7,84004,7
"1011",1011,41210,80,33,47,18,1,1,1,4,2,2,30.6700000762939,70,75,16.2199993133545,69,74,85001,11,19,5,2,40,0,2,80,38,64.2099990844727,26.2999992370605,38,63.7400016784668,44.7000007629395,1,0,0,1,0,2,64.2099990844727,26.2999992370605,38,63.7400016784668,44.7000007629395,38,0,NA,NA,19,85001,19
"1012",1012,41210,80,33,47,18,1,1,1,4,2,2,30.6700000762939,70,75,16.2199993133545,69,74,85001,11,19,5,1,40,0,2,80,36,74.0561141967773,5.57999992370605,37,76.4291915893555,16.2608108520508,NA,1,0,1,0,2,64.2099990844727,26.2999992370605,38,63.7400016784668,44.7000007629395,38,1,37,36,19,85001,19
"1013",1013,41212,96,47,49,27,1,1,1,3,3,3,36.8400001525879,69,95,22.1100006103516,67,95,85001,11,12,5,1,32,0,3,96,32,69.5899963378906,28.1000003814697,32,64.7200012207031,40.5999984741211,1,0,0,1,0,3,67.2350006103516,23.4500007629395,64,68.1750030517578,37.5,64,0,NA,NA,12,85001,12
"1014",1014,41212,96,47,49,27,1,1,1,3,3,3,36.8400001525879,69,95,22.1100006103516,67,95,85001,11,12,5,3,33,0,3,96,32,64.879997253418,18.7999992370605,32,71.629997253418,34.4000015258789,1,0,0,1,0,3,67.2350006103516,23.4500007629395,64,68.1750030517578,37.5,64,0,NA,NA,12,85001,12
"1015",1015,41212,96,47,49,27,1,1,1,3,3,3,36.8400001525879,69,95,22.1100006103516,67,95,85001,11,12,5,2,31,0,3,96,31,66.5148391723633,19.3435478210449,31,70.7032241821289,35.4774208068848,NA,1,0,1,0,3,67.2350006103516,23.4500007629395,64,68.1750030517578,37.5,64,1,31,31,12,85001,12
"1016",1016,41214,21,11,10,8,2,1,1,7,1,1,58.8199996948242,59,17,47.060001373291,54,17,85001,12,41,5,1,21,0,1,21,17,53.7099990844727,47.0999984741211,17,59.2900009155273,58.7999992370605,1,0,0,0,0,1,53.7099990844727,47.0999984741211,17,59.2900009155273,58.7999992370605,17,0,NA,NA,41,85001,41
"1017",1017,41217,49,26,23,15,2,1,1,6,2,2,35.560001373291,67,45,35.560001373291,62,45,85001,12,46,5,1,23,0,2,49,22,60.4099998474121,45.5,22,62.3600006103516,36.4000015258789,1,0,0,1,0,2,60.4099998474121,45.5,22,62.3600006103516,36.4000015258789,22,0,NA,NA,46,85001,46
"1018",1018,41217,49,26,23,15,2,1,1,6,2,2,35.560001373291,67,45,35.560001373291,62,45,85001,12,46,5,2,26,0,2,49,23,63.5208702087402,26.052173614502,23,71.4382629394531,34.7565231323242,NA,1,0,1,0,2,60.4099998474121,45.5,22,62.3600006103516,36.4000015258789,22,1,23,23,46,85001,46
"1019",1019,41218,28,20,8,6,1,1,1,1,1,1,19.2299995422363,74,26,18.5200004577637,70,27,1842,11,2,5,1,28,0,1,28,27,69.8499984741211,18.5,26,73.879997253418,19.2000007629395,1,0,0,0,0,1,69.8499984741211,18.5,27,73.879997253418,19.2000007629395,26,0,NA,NA,2,1842,2
"1020",1020,41220,125,66,59,21,1,1,1,1,4,3,24.75,79,101,33.9799995422363,66,103,87007,11,3,5,1,38,0,3,113,35,66.370002746582,25.7000007629395,34,78.1800003051758,29.3999996185303,1,0,0,1,0,3,65.6094436645508,31.9180564880371,72,78.1695785522461,29.5563373565674,71,0,NA,NA,3,87007,3
"1021",1021,41220,125,66,59,21,1,1,1,1,4,3,24.75,79,101,33.9799995422363,66,103,87007,11,3,5,3,40,0,3,113,37,64.8899993896484,37.7999992370605,37,78.1600036621094,29.7000007629395,1,0,0,1,0,3,65.6094436645508,31.9180564880371,72,78.1695785522461,29.5563373565674,71,0,NA,NA,3,87007,3
"1022",1022,41220,125,66,59,21,1,1,1,1,4,3,24.75,79,101,33.9799995422363,66,103,87007,11,3,5,2,35,0,3,113,31,66.907096862793,38.7690315246582,30,80.96533203125,13.375,NA,1,0,1,0,3,65.6094436645508,31.9180564880371,72,78.1695785522461,29.5563373565674,71,1,30,31,3,87007,3
"1023",1023,41221,155,82,73,29,1,1,1,1,5,4,18.9799995422363,81,137,10.9499998092651,77,137,87007,11,5,5,1,35,0,4,144,33,78.1500015258789,6.09999990463257,33,80.9700012207031,18.2000007629395,1,0,0,1,0,4,77.5870590209961,10.7852945327759,102,80.1969604492188,18.6401958465576,102,0,NA,NA,5,87007,5
"1024",1024,41221,155,82,73,29,1,1,1,1,5,4,18.9799995422363,81,137,10.9499998092651,77,137,87007,11,5,5,3,37,0,4,144,35,76.8300018310547,11.3999996185303,35,77.2600021362305,25.7000007629395,1,0,0,1,0,4,77.5870590209961,10.7852945327759,102,80.1969604492188,18.6401958465576,102,0,NA,NA,5,87007,5
"1025",1025,41221,155,82,73,29,1,1,1,1,5,4,18.9799995422363,81,137,10.9499998092651,77,137,87007,11,5,5,4,36,0,4,144,34,77.8199996948242,14.6999998092651,34,82.4700012207031,11.8000001907349,1,0,0,1,0,4,77.5870590209961,10.7852945327759,102,80.1969604492188,18.6401958465576,102,0,NA,NA,5,87007,5
"1026",1026,41221,155,82,73,29,1,1,1,1,5,4,18.9799995422363,81,137,10.9499998092651,77,137,87007,11,5,5,2,36,0,4,144,35,75.2891464233398,11.4300003051758,35,83.3402862548828,19.9702854156494,NA,1,0,1,0,4,77.5870590209961,10.7852945327759,102,80.1969604492188,18.6401958465576,102,1,35,35,5,87007,5
"1027",1027,41225,135,73,62,28,2,1,1,1,5,4,13.9099998474121,81,115,10.4300003051758,78,115,87007,12,8,5,1,32,0,4,124,30,80,13.3000001907349,30,79.870002746582,10,1,0,0,1,0,4,78.7609100341797,10.2022724151611,88,81.3068161010742,13.625,88,0,NA,NA,8,87007,8
"1028",1028,41225,135,73,62,28,2,1,1,1,5,4,13.9099998474121,81,115,10.4300003051758,78,115,87007,12,8,5,3,31,0,4,124,29,81.0299987792969,13.8000001907349,29,83.7600021362305,6.90000009536743,1,0,0,1,0,4,78.7609100341797,10.2022724151611,88,81.3068161010742,13.625,88,0,NA,NA,8,87007,8
"1029",1029,41225,135,73,62,28,2,1,1,1,5,4,13.9099998474121,81,115,10.4300003051758,78,115,87007,12,8,5,4,29,0,4,124,29,75.2099990844727,3.40000009536743,29,80.3399963378906,24.1000003814697,1,0,0,1,0,4,78.7609100341797,10.2022724151611,88,81.3068161010742,13.625,88,0,NA,NA,8,87007,8
"1030",1030,41225,135,73,62,28,2,1,1,1,5,4,13.9099998474121,81,115,10.4300003051758,78,115,87007,12,8,5,2,32,0,4,124,27,75.5199966430664,11.1722221374512,27,80,14.8388891220093,NA,1,0,1,0,4,78.7609100341797,10.2022724151611,88,81.3068161010742,13.625,88,1,27,27,8,87007,8
"1031",1031,41227,36,15,21,9,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,36,0,1,36,35,64.0899963378906,31.3999996185303,35,77.6600036621094,22.8999996185303,1,0,1,0,1,1,64.0899963378906,31.3999996185303,35,77.6600036621094,22.8999996185303,35,0,NA,NA,2,2675,2
"1032",1032,41232,19,9,10,6,1,1,1,NA,1,1,5.26000022888184,80,19,26.3199996948242,64,19,2329,11,0,5,1,19,0,1,19,19,64.3199996948242,26.2999992370605,19,79.9499969482422,5.30000019073486,1,0,0,0,0,1,64.3199996948242,26.2999992370605,19,79.9499969482422,5.30000019073486,19,0,NA,NA,0,2329,0
"1033",1033,41234,101,56,45,22,1,1,1,2,3,3,21.6499996185303,77,97,30.9300003051758,65,97,1545,11,5,5,1,34,0,3,101,33,61.4500007629395,42.4000015258789,33,74.5800018310547,36.4000015258789,1,0,0,0,0,3,65.1764984130859,30.9092788696289,97,76.9606170654297,21.6391754150391,97,0,NA,NA,5,7674,5
"1034",1034,41234,101,56,45,22,1,1,1,2,3,3,21.6499996185303,77,97,30.9300003051758,65,97,1545,11,5,5,2,32,0,3,101,29,62.2799987792969,31,29,78.2099990844727,17.2000007629395,1,0,0,0,0,3,65.1764984130859,30.9092788696289,97,76.9606170654297,21.6391754150391,97,0,NA,NA,5,7674,5
"1035",1035,41234,101,56,45,22,1,1,1,2,3,3,21.6499996185303,77,97,30.9300003051758,65,97,1545,11,5,5,3,35,0,3,101,35,71.0899963378906,20,35,78.1699981689453,11.3999996185303,1,0,0,0,0,3,65.1764984130859,30.9092788696289,97,76.9606170654297,21.6391754150391,97,0,NA,NA,5,7674,5
"1036",1036,41236,23,9,14,8,2,1,1,4,1,1,57.1399993896484,66,21,61.9000015258789,50,21,1545,12,33,5,1,23,0,1,23,21,50,61.9000015258789,21,66,57.1399993896484,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,33,1545,33
"1037",1037,41237,19,8,11,8,2,2,1,7,1,1,13.3299999237061,85,15,20,71,15,20024,12,34,5,1,19,0,1,19,15,70.870002746582,20,15,85.129997253418,13.3000001907349,1,0,0,0,0,1,70.870002746582,20,15,85.129997253418,13.3000001907349,15,0,NA,NA,34,20024,34
"1038",1038,41274,19,9,10,10,2,1,1,5,1,1,87.5,44,16,75,43,16,70003,12,28,5,1,19,0,1,19,16,43.560001373291,75,16,44.189998626709,87.5,1,0,0,0,0,1,43.560001373291,75,16,44.189998626709,87.5,16,0,NA,NA,28,70003,28
"1039",1039,41275,34,19,15,9,1,1,1,1,1,1,13.789999961853,83,29,27.5900001525879,66,29,79004,11,4,5,1,34,0,1,34,29,65.620002746582,27.6000003814697,29,82.6900024414062,13.8000001907349,1,0,0,0,0,1,65.620002746582,27.6000003814697,29,82.6900024414062,13.8000001907349,29,0,NA,NA,4,79004,4
"1040",1040,41276,92,52,40,18,1,1,1,1,3,3,13.25,83,83,7.23000001907349,83,83,79004,11,2,5,1,29,0,3,92,26,83.620002746582,3.79999995231628,26,79.5400009155273,15.3999996185303,1,0,0,0,0,3,83.1204833984375,7.19759035110474,83,82.6506042480469,13.2638549804688,83,0,NA,NA,2,79004,2
"1041",1041,41276,92,52,40,18,1,1,1,1,3,3,13.25,83,83,7.23000001907349,83,83,79004,11,2,5,2,32,0,3,92,30,89.3300018310547,3.29999995231628,30,86.129997253418,6.69999980926514,1,0,0,0,0,3,83.1204833984375,7.19759035110474,83,82.6506042480469,13.2638549804688,83,0,NA,NA,2,79004,2
"1042",1042,41276,92,52,40,18,1,1,1,1,3,3,13.25,83,83,7.23000001907349,83,83,79004,11,2,5,3,31,0,3,92,27,75.7399978637695,14.8000001907349,27,81.7799987792969,18.5,1,0,0,0,0,3,83.1204833984375,7.19759035110474,83,82.6506042480469,13.2638549804688,83,0,NA,NA,2,79004,2
"1043",1043,41277,80,39,41,13,1,1,1,4,3,2,44.2599983215332,65,61,21.3099994659424,60,61,83006,11,11,5,1,32,0,2,65,31,59.8400001525879,25.7999992370605,31,63.6800003051758,41.9000015258789,1,0,0,0,0,2,59.9039344787598,21.3245906829834,61,65.0324554443359,44.2606544494629,61,0,NA,NA,11,83006,11
"1044",1044,41277,80,39,41,13,1,1,1,4,3,2,44.2599983215332,65,61,21.3099994659424,60,61,83006,11,11,5,2,33,0,2,65,30,59.9700012207031,16.7000007629395,30,66.4300003051758,46.7000007629395,1,0,0,0,0,2,59.9039344787598,21.3245906829834,61,65.0324554443359,44.2606544494629,61,0,NA,NA,11,83006,11
"1045",1045,41282,64,32,32,18,1,1,1,3,2,2,47.6199989318848,67,63,37.5,57,64,70003,11,14,5,1,30,0,2,64,31,59.3199996948242,29,30,65.4300003051758,50,1,0,0,0,0,2,57.2781257629395,37.5078125,64,66.5876159667969,47.6428565979004,63,0,NA,NA,14,70003,14
"1046",1046,41282,64,32,32,18,1,1,1,3,2,2,47.6199989318848,67,63,37.5,57,64,70003,11,14,5,2,34,0,2,64,33,55.3600006103516,45.5,33,67.6399993896484,45.5,1,0,0,0,0,2,57.2781257629395,37.5078125,64,66.5876159667969,47.6428565979004,63,0,NA,NA,14,70003,14
"1047",1047,41284,109,69,40,20,1,1,1,2,3,3,39.6199989318848,69,106,16.0400009155273,67,106,79004,11,8,5,1,36,0,3,109,35,69.370002746582,11.3999996185303,35,72.1699981689453,37.0999984741211,1,0,0,0,0,3,66.5082092285156,16.0141506195068,106,69.1316986083984,39.5896224975586,106,0,NA,NA,8,79004,8
"1048",1048,41284,109,69,40,20,1,1,1,2,3,3,39.6199989318848,69,106,16.0400009155273,67,106,79004,11,8,5,2,37,0,3,109,37,67.0800018310547,13.5,37,67.2699966430664,37.7999992370605,1,0,0,0,0,3,66.5082092285156,16.0141506195068,106,69.1316986083984,39.5896224975586,106,0,NA,NA,8,79004,8
"1049",1049,41284,109,69,40,20,1,1,1,2,3,3,39.6199989318848,69,106,16.0400009155273,67,106,79004,11,8,5,3,36,0,3,109,34,62.939998626709,23.5,34,68.0299987792969,44.0999984741211,1,0,0,0,0,3,66.5082092285156,16.0141506195068,106,69.1316986083984,39.5896224975586,106,0,NA,NA,8,79004,8
"1050",1050,41285,74,38,36,19,1,1,1,4,2,2,35.2099990844727,61,71,19.7199993133545,60,71,85001,11,21,5,1,37,0,2,74,35,61.060001373291,11.3999996185303,35,58.939998626709,40,1,0,0,0,0,2,60.3400001525879,19.7154922485352,71,61.5056343078613,35.2338027954102,71,0,NA,NA,21,85001,21
"1051",1051,41285,74,38,36,19,1,1,1,4,2,2,35.2099990844727,61,71,19.7199993133545,60,71,85001,11,21,5,2,37,0,2,74,36,59.6399993896484,27.7999992370605,36,64,30.6000003814697,1,0,0,0,0,2,60.3400001525879,19.7154922485352,71,61.5056343078613,35.2338027954102,71,0,NA,NA,21,85001,21
"1052",1052,41287,111,59,52,25,2,1,1,3,3,3,21.6499996185303,78,97,28.5699996948242,69,98,74005,12,18,5,1,37,0,3,111,35,73.1699981689453,25.7000007629395,35,79.9700012207031,20,1,0,0,1,0,3,73.7053833007812,21.5461540222168,65,80.4315414428711,16.9076919555664,65,0,NA,NA,18,74005,18
"1053",1053,41287,111,59,52,25,2,1,1,3,3,3,21.6499996185303,78,97,28.5699996948242,69,98,74005,12,18,5,3,37,0,3,111,30,74.3300018310547,16.7000007629395,30,80.9700012207031,13.3000001907349,1,0,0,1,0,3,73.7053833007812,21.5461540222168,65,80.4315414428711,16.9076919555664,65,0,NA,NA,18,74005,18
"1054",1054,41287,111,59,52,25,2,1,1,3,3,3,21.6499996185303,78,97,28.5699996948242,69,98,74005,12,18,5,2,37,0,3,111,33,59.731819152832,42.4048500061035,32,73.0609359741211,31.2828121185303,NA,1,0,1,0,3,73.7053833007812,21.5461540222168,65,80.4315414428711,16.9076919555664,65,1,32,33,18,74005,18
"1055",1055,41288,37,0,37,13,2,1,1,1,1,1,35.2900009155273,64,34,41.1800003051758,60,34,6965,12,7,5,1,37,0,1,37,34,60.4700012207031,41.2000007629395,34,63.6500015258789,35.2999992370605,1,0,0,0,0,1,60.4700012207031,41.2000007629395,34,63.6500015258789,35.2999992370605,34,0,NA,NA,7,6965,7
"1056",1056,41289,39,25,14,17,2,1,1,7,2,2,64.7099990844727,47,34,73.5299987792969,43,34,70003,12,44,5,2,14,0,2,39,12,37.5800018310547,75,12,46.6699981689453,66.6999969482422,1,0,0,1,0,2,37.5800018310547,75,12,46.6699981689453,66.6999969482422,12,0,NA,NA,44,70003,44
"1057",1057,41289,39,25,14,17,2,1,1,7,2,2,64.7099990844727,47,34,73.5299987792969,43,34,70003,12,44,5,1,25,0,2,39,22,45.9563636779785,72.7281799316406,22,47.1800003051758,63.6245460510254,NA,1,0,1,0,2,37.5800018310547,75,12,46.6699981689453,66.6999969482422,12,1,22,22,44,70003,44
